net_income,net_us_income,adjusted_wgi,adjusted_us_income
40447576.25373235,-1267661.737080738,109739140.34181818,68023902.35100509
-3009849.6653940305,-7719391.959778115,65452239.08747514,60742696.79309106
-9131577.06902066,-9131577.06902066,14341139.0748202,14341139.0748202
225962007.160811,83756468.5227085,300292274.9496404,158086736.3115379
61045062.54215762,61045062.54215762,104078375.47253253,104078375.47253253
41265964.1092196,41265964.1092196,101903814.14747515,101903814.14747515
403230455.41124713,94433833.4891431,481472842.55738336,172676220.6352793
11004875.862670237,11004875.862670237,24697293.61324407,24697293.61324407
232178439.1498394,99716033.77110942,271299632.7229075,138837227.3441775
44526969.88129304,30322064.494912017,69955745.70378731,55750840.31740628
-5359808.905776587,-5359808.905776587,4811701.423221118,4811701.423221118
-5347196.232968628,-5347196.232968628,16169460.232218824,16169460.232218824
64312312.05672534,34971416.87692426,95609266.91517982,66268371.73537874
191538797.52548587,44345306.706817165,308902378.2446902,161708887.42602146
333014139.0855471,92992929.51169854,469938316.59128547,229917107.0174369
129146894.00371079,71126930.56820199,168268087.5767789,110248124.14127009
24302466.879227236,24302466.879227236,43863063.665761285,43863063.665761285
69419120.29154554,69419120.29154554,120276671.93653406,120276671.93653406
946159160.428141,382666509.5489059,989192473.3585159,425699822.4792808
34012425.36644989,34012425.36644989,58463171.34961745,58463171.34961745
73177810.23977813,73177810.23977813,92738407.02631217,92738407.02631217
897214597.9837415,523756970.93841624,932423672.1995028,558966045.1541775
46721711.874055095,46721711.874055095,51611861.070688605,51611861.070688605
333532905.6729228,179982220.89863047,392214696.03252494,238664011.25823262
2188539.327521041,2188539.327521041,51090031.29385617,51090031.29385617
28175594.142899774,28175594.142899774,77077086.1092349,77077086.1092349
365700395.11106354,149555800.61986232,395041290.2908646,178896695.7996634
35739549.77637338,35362030.25839327,47475907.84829381,47098388.330313705
89917982.18019894,66592870.29970926,113390698.3240398,90065586.44355012
30161260.740849286,30161260.740849286,69282454.31391738,69282454.31391738
5341005.304085693,5341005.304085693,5790899.030175976,5790899.030175976
-17447252.305179805,-17447252.305179805,9937583.195967866,9937583.195967866
80740024.98013774,80740024.98013774,119861218.55320583,119861218.55320583
12036795.146143846,12036795.146143846,31597391.932677895,31597391.932677895
3198640.7213389445,3198640.7213389445,11414091.371683246,11414091.371683246
-4181363.147834733,-4181363.147834733,17335293.31735272,17335293.31735272
52670243.885554716,22263785.195807196,87879318.101316,57472859.411568485
33393074.2782785,33393074.2782785,76426387.2086534,76426387.2086534
43268662.11879113,-8470886.615600608,111730750.8716603,59991202.137268566
389848929.87387913,125780873.25566952,432882242.80425406,168814186.18604442
879065480.1689061,321588471.7526856,906450315.6700537,348973307.2538333
121805579.0389212,85031657.08023721,141366175.82545525,104592253.86677125
508876.7496403977,508876.7496403977,29849771.92944147,29849771.92944147
-4046185.731622033,-4046185.731622033,54635604.62798011,54635604.62798011
152467727.98168328,-2060986.6319357157,234622234.4851263,80093519.87150729
25085630.14124713,25085630.14124713,31931839.01653405,31931839.01653405
368650577.13201994,238181396.5658378,395057382.7938409,264588202.22765878
384009569.46516454,106434920.7658531,511153448.5776358,233578799.87832442
11085154.507941857,11085154.507941857,32601810.97312931,32601810.97312931
-17592861.387658764,-17592861.387658764,19572272.50675593,19572272.50675593
47225950.806197405,47225950.806197405,86347144.3792655,86347144.3792655
303151437.03290755,156739939.23555067,359463551.5703525,213052053.77299562
210923754.29768726,71082003.19636565,286006573.6809472,146164822.57962558
-5342257.100418501,-5342257.100418501,11551377.26081498,11551377.26081498
779206462.4594274,364090894.46651983,826133224.5739648,411017656.5810573
33857683.26755507,33857683.26755507,71399092.95918503,71399092.95918503
95785161.15264317,95738232.51345816,107986119.30242291,107939190.6632379
35878355.27541851,35878355.27541851,92190469.81286345,92190469.81286345
276477407.625793,82763733.6169824,342174874.5861454,148461200.57733482
285378141.7451322,182139265.09314978,336059044.8288327,232820168.17685023
5480238.6746696085,5480238.6746696085,28005084.489647582,28005084.489647582
43203367.55991189,43203367.55991189,71359424.82863437,71359424.82863437
-6725744.392797358,-6725744.392797358,64602934.02129956,64602934.02129956
13309056.677224673,13309056.677224673,26050611.12656388,26050611.12656388
33591097.963193834,33591097.963193834,78640789.59314978,78640789.59314978
44809488.55125551,44809488.55125551,65457263.88165198,65457263.88165198
203509168.20966965,134057560.2801542,224156943.54006612,154705335.61055067
433330774.476586,93205602.67041852,564725708.3972908,224600536.59112337
291126431.7162115,81591780.90579295,339930264.31533045,130395613.5049119
-89690031.72863437,-89690031.72863437,32319549.769163,32319549.769163
310477778.283304,57073262.864801764,385560597.6665639,132156082.24806169
57269279.704295166,57269279.704295166,111704323.7571586,111704323.7571586
-16701185.83273128,-16701185.83273128,7700730.466828194,7700730.466828194
-7186846.269002138,-7196186.951696364,1924237.123727726,1914896.4410334993
28176509.82872247,28176509.82872247,46947214.67453745,46947214.67453745
79756347.59870046,79756347.59870046,111666545.83658592,111666545.83658592
23943149.010704845,23943149.010704845,49283600.55255507,49283600.55255507
74377703.48693834,74377703.48693834,89394267.36359033,89394267.36359033
-2770916.4327753303,-2785929.242511013,3798830.2632599124,3783817.4535242296
48190332.75900881,48190332.75900881,74469319.54314978,74469319.54314978
111745681.2511454,36074266.99896477,156795372.88110134,81123958.62892072
1008512.4299559473,1008512.4299559473,1477780.0511013218,1477780.0511013218
84069480.1581718,84069480.1581718,140381594.69561675,140381594.69561675
14888864.894515421,10571602.779977981,46817833.8372467,42500571.72270926
33790084.32819384,33790084.32819384,80716846.44273129,80716846.44273129
642885205.855771,220544346.82493395,732984589.1156828,310643730.08484584
21969338.06748899,21969338.06748899,87666805.02784142,87666805.02784142
476313926.0043173,209749340.74709255,511978265.21136576,245413679.954141
2357263.167222648,2357263.167222648,2402252.539831676,2402252.539831676
292821127.90958154,155044154.3412996,328485467.11663,190708493.54834804
21567329.635947138,21567329.635947138,68494091.75048459,68494091.75048459
786276382.7421367,194992248.0776652,977737572.1694494,386453437.504978
54173971.70451542,54173971.70451542,85145634.70011014,85145634.70011014
9524146.768678416,9524146.768678416,28294851.614493396,28294851.614493396
-670146.0459066564,-672645.8901759755,699095.7291507269,696595.8848814078
53886618.49231278,53886618.49231278,119584085.45266521,119584085.45266521
39030226.91718063,39030226.91718063,65309213.701321594,65309213.701321594
-72539896.6917819,-72539896.6917819,13104287.19987883,13104287.19987883
41000423.75450463,41000423.75450463,52844832.16505345,52844832.16505345
867466648.8872631,345037127.14813256,918488715.8865503,396059194.1474198
-5309155.84811119,-5309155.84811119,23846311.008624375,23846311.008624375
1893130.0628082682,1822256.7673129006,3715346.741354241,3644473.4458588734
553821256.6369778,125235893.84296508,643109873.8857305,214524511.09171775
340577860.4477619,151066026.638489,486355194.7314397,296843360.9221668
703387919.659159,176767299.55937278,748943336.6228082,222322716.5230221
162272848.72208124,51117631.3307769,238805949.2210121,127650731.82970776
320459930.49639344,77485737.15630794,393348597.63823235,150374404.29814684
17537844.245131858,17537844.245131858,30293360.99495367,30293360.99495367
-2700348.3625873104,-2700348.3625873104,41032851.92251603,41032851.92251603
-39189942.15136849,-39189942.15136849,17298774.883556664,17298774.883556664
14191131.516409688,3679536.802753307,38593047.81596916,28081453.10231278
-28953949.736471843,-28953949.736471843,25712550.61990734,25712550.61990734
-2439105.7817024225,-2439105.7817024225,1099399.4086089965,1099399.4086089965
171329640.99109054,6236809.91482538,271551558.311119,106458727.23485388
61396815.74760513,61396815.74760513,74152332.49742694,74152332.49742694
141739010.5693514,-2033885.3679258674,251072011.28210977,107299115.3448325
